日付,時刻,実作業有無,マシンタイム
2023-03-31,14:38,1,0
2023-03-31,14:39,1,0
2023-03-31,14:40,1,0
2023-03-31,14:41,1,0
2023-03-31,14:42,1,0
2023-03-31,14:43,1,0
2023-03-31,14:44,1,0
2023-03-31,14:45,1,0
2023-03-31,14:46,0,0
2023-03-31,14:47,0,0
2023-03-31,14:48,0,0
2023-03-31,14:49,0,0
2023-03-31,14:50,0,0
2023-03-31,14:51,1,0
2023-03-31,14:52,1,0
2023-03-31,14:53,1,0
2023-03-31,14:54,1,0
2023-03-31,14:55,1,0
2023-03-31,14:56,1,0
2023-03-31,14:57,1,0
2023-03-31,14:58,1,0
2023-03-31,14:59,0,0
2023-03-31,15:00,0,0
2023-03-31,15:01,0,0
2023-03-31,15:02,0,0
2023-03-31,15:03,0,0
2023-03-31,15:04,0,0
2023-03-31,15:05,0,0
2023-03-31,15:06,0,0
2023-03-31,15:07,0,0
2023-03-31,15:08,0,0
2023-03-31,15:09,1,0
2023-03-31,15:10,0,0
2023-03-31,15:11,0,0
2023-03-31,15:12,0,0
2023-03-31,15:13,0,0
2023-03-31,15:14,0,0
2023-03-31,15:15,0,0
2023-03-31,15:16,0,0
2023-03-31,15:17,0,0
2023-03-31,15:18,0,0
2023-03-31,15:19,0,0
2023-03-31,15:20,0,0
2023-03-31,15:21,0,0
2023-03-31,15:22,0,0
2023-03-31,15:23,0,0
2023-03-31,15:24,0,0
2023-03-31,15:25,0,0
2023-03-31,15:26,0,0
2023-03-31,15:27,0,0
2023-03-31,15:28,0,0
2023-03-31,15:29,0,0
2023-03-31,15:30,0,0
2023-03-31,15:31,0,0
2023-03-31,15:32,0,0
2023-03-31,15:33,0,0
2023-03-31,15:34,0,0
2023-03-31,15:35,0,0
2023-03-31,15:36,0,0
2023-03-31,15:37,0,0
2023-03-31,15:38,0,0
2023-03-31,15:39,0,0
2023-03-31,15:40,0,0
2023-03-31,15:41,0,0
2023-03-31,15:42,0,0
2023-03-31,15:43,0,0
2023-03-31,15:44,0,0
2023-03-31,15:45,0,0
2023-03-31,15:46,0,0
2023-03-31,15:47,0,0
2023-03-31,15:48,0,0
2023-03-31,15:49,0,0
2023-03-31,15:50,0,0
2023-03-31,15:51,0,0
2023-03-31,15:52,0,0
2023-03-31,15:53,1,0
